"";"Var1";"Freq"
"963";"Erfüllung";7
"964";"Ermahnung";7
"965";"Existenz";7
"966";"Feierlichkeit";7
"967";"Feinheit";7
"968";"Fensterbrett";7
"969";"Fingerspitzen";7
"970";"Flucht";7
"971";"Flüssigkeit";7
"972";"frei";7
"973";"Frühjahr";7
"974";"Führung";7
"975";"Gäng";7
"976";"Gemeindevorsteher";7
"977";"Genugtuung";7
"978";"Gepäckträger";7
"979";"Gerichtsbeamte";7
"980";"Geschirr";7
"981";"Geschmack";7
"982";"Geständnis";7
"983";"Glühlampe";7
"984";"Hafen";7
"985";"Halt";7
"986";"Hände";7
"987";"Handlungsweise";7
"988";"Horchen";7
"989";"Inhalt";7
"990";"Irländer";7
"991";"Kälte";7
"992";"Kammer";7
"993";"Keckheit";7
"994";"Kirchendiener";7
"995";"Klasse";7
"996";"Kleinzeug";7
"997";"Klopfen";7
"998";"Köchin";7
"999";"Kralle|Krallen";7
"1000";"Legitimationspapier";7
"1001";"Lehne";7
"1002";"Leu";7
"1003";"Linie";7
"1004";"Lumpen";7
"1005";"Mahnung";7
"1006";"Masse";7
"1007";"Mißverständnis";7
"1008";"Mittel|Mitteln";7
"1009";"Mond";7
"1010";"Neigung";7
"1011";"Ohrfeige";7
"1012";"Öl";7
"1013";"Paß";7
"1014";"Pension";7
"1015";"Pfeife|Pfeifen";7
"1016";"Polster";7
"1017";"Predigt";7
"1018";"Punkt";7
"1019";"Rahmen";7
"1020";"Regen";7
"1021";"Reisende";7
"1022";"Reiten";7
"1023";"Rumpelkammer";7
"1024";"Saalhälfte";7
"1025";"Säule";7
"1026";"Schatten";7
"1027";"Schicksal";7
"1028";"Schläfrigkeit";7
"1029";"Schlauheit";7
"1030";"Schlüsselloch";7
"1031";"Schulzimmer";7
"1032";"Seele";7
"1033";"Seitenblicken";7
"1034";"sitzen";7
"1035";"Spannung";7
"1036";"Speise";7
"1037";"Speise|Speisen";7
"1038";"Sprache";7
"1039";"Sprung";7
"1040";"Stall";7
"1041";"Stern";7
"1042";"Strohsack";7
"1043";"Strümpfe";7
"1044";"Stückchen";7
"1045";"suchen";7
"1046";"Summe";7
"1047";"Taschentuch";7
"1048";"Thronsessel";7
"1049";"Türflügel";7
"1050";"Türhüter";7
"1051";"Unbehage";7
"1052";"Verkühlung";7
"1053";"Verteilung";7
"1054";"Vertreter";7
"1055";"Verwandte|Verwandter";7
"1056";"Vorübergehen";7
"1057";"Wahl";7
"1058";"Wald";7
"1059";"Wartezimmer";7
"1060";"Winken";7
"1061";"Wunde";7
"1062";"Wut";7
"1063";"Zustimmung";7
"1064";"Abneigung";6
"1065";"Abstand";6
"1066";"Album";6
"1067";"Angebot";6
"1068";"Anteil";6
"1069";"Appetit";6
"1070";"Arzt";6
"1071";"Ausblick";6
"1072";"Ausflug";6
"1073";"Automobillaternen";6
"1074";"Barrieren";6
"1075";"Befriedigung";6
"1076";"Beruhigung";6
"1077";"Bestechung";6
"1078";"bestimmt";6
"1079";"Bestimmung";6
"1080";"Bestrafung";6
"1081";"Bezahlung";6
"1082";"Block";6
"1083";"Bräutigam";6
"1084";"Brückenhof";6
"1085";"Bürgels";6
"1086";"Dach";6
"1087";"Dieb";6
"1088";"Ehre|Ehren";6
"1089";"Einfall";6
"1090";"Einschlafen";6
"1091";"Empfindlichkeit";6
"1092";"Entlassung";6
"1093";"Entschlossenheit";6
"1094";"Erwachsene";6
"1095";"Eßzimmer";6
"1096";"Franzose";6
"1097";"Freitreppe";6
"1098";"Freundschaft";6
"1099";"Gebirge";6
"1100";"Gesichtspunkt";6
"1101";"Gespenster";6
"1102";"Glanz";6
"1103";"gleich";6
"1104";"Gleichgültigkeit";6
"1105";"Glockenzeichen";6
"1106";"Gree";6
"1107";"Hafenbeamte";6
"1108";"Haken";6
"1109";"Halbdunkel";6
"1110";"Hauptkassum";6
